source_center,destination_center,median_delay,trip_count,median_actual_time,median_osrm_time,median_distance
IND000000AAL,IND411033AAA,2.25,35,50.0,24.0,15.123808601396384
IND000000AAQ,IND700028AAB,4.9393939393939394,4,79.5,12.5,10.35060355834118
IND000000AAS,IND783370AAC,1.833333333333333,18,47.0,26.0,26.825804308505987
IND000000AAZ,IND444203AAA,3.208333333333333,3,179.0,41.0,44.53966914540621
IND000000AAZ,IND444303AAA,2.266183574879227,2,103.5,31.5,34.761040629925866
IND000000ABA,IND683565AAA,1.3937728937728937,8,22.5,20.0,9.235496865123004
IND000000ABD,IND562132AAA,1.4285714285714286,144,303.5,188.5,155.1900946823892
IND000000ABG,IND501359AAF,2.1666666666666665,37,42.0,20.0,18.409461161380843
IND000000ACA,IND140406AAA,1.7421052631578946,6,58.0,35.0,44.447753674226504
IND000000ACA,IND142001AAB,1.5147058823529411,36,69.0,42.0,55.95505234164236
IND000000ACA,IND142401AAA,2.333333333333333,24,33.0,18.0,25.375492660090483
IND000000ACA,IND143001AAA,1.625,7,115.0,71.0,88.72349553277728
IND000000ACA,IND144001AAB,1.6153846153846154,51,58.0,36.0,44.78182107317215
IND000000ACA,IND144514AAA,1.2487179487179487,24,55.0,47.0,27.596847248208814
IND000000ACA,IND147301AAA,2.0555555555555554,6,44.0,22.0,29.98627919276582
IND000000ACA,IND152026AAA,1.411764705882353,7,100.0,75.0,89.12080656843457
IND000000ACA,IND160002AAC,1.8666666666666667,288,79.0,38.0,54.12565596634431
IND000000ACB,IND000000AEL,1.5454545454545454,137,70.0,44.0,30.53704292103883
IND000000ACB,IND110024AAA,1.7571428571428571,36,92.0,46.0,32.594364475024804
IND000000ACB,IND110030AAD,1.5555555555555556,133,60.0,36.0,28.27514114451765
IND000000ACB,IND110037AAK,1.5,158,42.0,30.0,27.085794504909043
IND000000ACB,IND110043AAA,1.7777777777777777,67,50.0,30.0,27.0221819889938
IND000000ACB,IND110043AAC,1.5555555555555556,45,75.0,41.0,29.65411157592268
IND000000ACB,IND110052AAA,1.5,14,64.0,48.5,38.38918021035841
IND000000ACB,IND110064AAA,1.375,286,59.0,44.0,36.09633336831587
IND000000ACB,IND110085AAB,1.4545454545454546,162,70.5,46.0,37.04955824586766
IND000000ACB,IND110092AAC,1.3333333333333333,35,76.0,49.0,37.259422107981855
IND000000ACB,IND110095AAB,1.375,266,72.0,50.0,37.19415950633992
IND000000ACB,IND121002AAB,1.68,335,68.0,45.0,29.198783878557148
IND000000ACB,IND121004AAB,1.625,181,62.0,38.0,30.783045595854745
IND000000ACB,IND122001AAA,1.3636363636363635,217,38.0,29.0,24.526073163954656
IND000000ACB,IND124103AAA,1.6842105263157894,27,72.0,46.0,41.67270372806301
IND000000ACB,IND124112AAA,1.5769230769230769,35,119.0,58.0,66.3361948886784
IND000000ACB,IND125001AAA,1.64,105,172.0,85.0,88.57985681339495
IND000000ACB,IND125005AAA,1.5750000000000002,28,152.0,86.0,89.0046555049995
IND000000ACB,IND125033AAA,1.6944444444444444,12,143.0,75.0,81.35789567744766
IND000000ACB,IND127021AAA,1.9283088235294117,10,144.0,71.0,66.34632784602856
IND000000ACB,IND131028AAB,0.945906432748538,740,108.0,56.5,45.09369953295605
IND000000ACB,IND160002AAC,1.8235294117647056,656,215.5,110.5,133.06549484153055
IND000000ACB,IND201001AAC,1.5,36,68.0,45.0,45.27322345830851
IND000000ACB,IND201007AAA,1.2727272727272727,63,82.0,53.0,39.38053548503717
IND000000ACB,IND201301AAF,1.2666666666666666,62,73.0,55.0,38.779102121106476
IND000000ACB,IND201301AAM,1.6817279046673286,304,106.0,60.0,42.958251395771995
IND000000ACB,IND209304AAA,1.8666666666666667,269,411.0,171.0,207.64572319852263
