source_center,destination_center,route_type,time_of_day,median_delay,trip_count
IND000000AAL,IND411033AAA,Carting,Night,2.05,4
IND000000AAL,IND411033AAA,Carting,Morning,2.333333333333333,4
IND000000AAL,IND411033AAA,Carting,Afternoon,2.4838709677419355,19
IND000000AAL,IND411033AAA,Carting,Evening,2.0,8
IND000000AAQ,IND700028AAB,Carting,Night,4.9393939393939394,4
IND000000AAS,IND783370AAC,FTL,Afternoon,1.833333333333333,18
IND000000AAZ,IND444203AAA,FTL,Night,3.208333333333333,3
IND000000AAZ,IND444303AAA,FTL,Night,2.266183574879227,2
IND000000ABA,IND683565AAA,Carting,Night,1.3937728937728937,8
IND000000ABD,IND562132AAA,FTL,Night,1.4285714285714286,144
IND000000ABG,IND501359AAF,Carting,Afternoon,2.1666666666666665,37
IND000000ACA,IND140406AAA,FTL,Evening,1.7421052631578946,6
IND000000ACA,IND142001AAB,FTL,Afternoon,1.5147058823529411,36
IND000000ACA,IND142401AAA,FTL,Night,2.083333333333333,2
IND000000ACA,IND142401AAA,FTL,Evening,2.333333333333333,22
IND000000ACA,IND143001AAA,FTL,Afternoon,1.625,7
IND000000ACA,IND144001AAB,FTL,Afternoon,1.6153846153846154,51
IND000000ACA,IND144514AAA,FTL,Evening,1.2487179487179487,24
IND000000ACA,IND147301AAA,FTL,Evening,2.0555555555555554,6
IND000000ACA,IND152026AAA,FTL,Afternoon,1.411764705882353,7
IND000000ACA,IND160002AAC,Carting,Night,1.6666666666666667,10
IND000000ACA,IND160002AAC,FTL,Night,1.7857142857142858,115
IND000000ACA,IND160002AAC,FTL,Morning,1.8571428571428568,67
IND000000ACA,IND160002AAC,FTL,Afternoon,2.3229166666666665,48
IND000000ACA,IND160002AAC,FTL,Evening,1.8666666666666667,48
IND000000ACB,IND000000AEL,Carting,Night,2.5608974358974357,30
IND000000ACB,IND000000AEL,Carting,Afternoon,1.9375,12
IND000000ACB,IND000000AEL,Carting,Evening,1.4615384615384617,95
IND000000ACB,IND110024AAA,Carting,Afternoon,1.7571428571428571,36
IND000000ACB,IND110030AAD,Carting,Night,1.9047619047619049,19
